file_id;model_name;sdr;emb_mse_mert_df;DMOS
fileid_5;sgmsvs;10.73050326346619;0.0808;3.5
fileid_44;melroformer_bigvgan;-8.837381387128755;56;4.25
fileid_22;htdemucs;5.333960920520147;0.12134;1.5833333333333333
fileid_44;htdemucs;12.265874616611544;0.04642;3.0833333333333335
fileid_21;melroformer_bigvgan;-5.417331113386766;0.08405;3.6666666666666665
fileid_10;melroformer_large;22.672252829484847;0.01247;3.9166666666666665
fileid_6;melroformer_small;1.9938335953100752;0.1876;1.1666666666666667
fileid_42;htdemucs;8.43918767926768;0.1087;3.3333333333333335
fileid_6;melroformer_large;5.382896672908437;0.1266;1.4166666666666667
fileid_42;melroformer_bigvgan;-11.385579192489407;0.10077;4.583333333333333
fileid_2;melroformer_small;13.66624724793214;0.0869;3.5833333333333335
fileid_3;melroformer_bigvgan;-8.115007672679816;0.0587;4.166666666666667
fileid_10;htdemucs;16.436387223831026;0.03104;2.75
fileid_31;melroformer_small;10.78187820286881;0.06287;2.75
fileid_1;melroformer_bigvgan;-13.20249114322893;102;4.166666666666667
fileid_14;sgmsvs;2.0111720774582698;0.1404;1.5833333333333333
fileid_14;melroformer_small;5.4516754478082845;103;2.1666666666666665
fileid_14;melroformer_large;7.019081455090376;0.08124;2.8333333333333335
fileid_5;melroformer_small;11.469981691407115;0.0928;2.9166666666666665
fileid_21;htdemucs;13.118279777455736;0.0964;2.9166666666666665
fileid_44;sgmsvs;13.543986430874815;0.04547;4.166666666666667
fileid_2;melroformer_large;16.54086910698051;0.06003;3.5833333333333335
fileid_5;htdemucs;10.504507273216566;0.1086;2.4166666666666665
fileid_6;melroformer_bigvgan;-10.432087262549857;0.1818;1.5833333333333333
fileid_10;melroformer_bigvgan;-3.105698698441717;0.04593;4.166666666666667
fileid_10;melroformer_small;16.252210375036988;0.02794;4.0
fileid_6;sgmsvs;1.172713367617826;0.1876;1.0833333333333333
fileid_44;melroformer_large;20.239332883987203;0.0353;4.5
fileid_1;htdemucs;7.876522026179787;89;3.0833333333333335
fileid_5;melroformer_large;13.541929564126406;0.0739;2.75
fileid_44;melroformer_small;23.118174457699673;0.0372;3.5833333333333335
fileid_21;melroformer_small;13.605866552797456;0.0841;2.75
fileid_42;melroformer_small;9.520083073213648;0.0979;4.0
fileid_21;sgmsvs;12.944525501033151;88;3.5
fileid_14;melroformer_bigvgan;-12.400869056379053;0.1166;3.25
fileid_22;sgmsvs;6.3738440211528165;0.08655;2.5833333333333335
fileid_31;htdemucs;11.026664491386173;0.07947;2.5
fileid_22;melroformer_large;11.265082495862156;0.0542;3.4166666666666665
fileid_22;melroformer_bigvgan;-13.200414455918388;0.09106;3.25
fileid_5;melroformer_bigvgan;-7.475946154144609;0.09766;2.9166666666666665
fileid_3;sgmsvs;9.3763816535942;0.04996;4.25
fileid_2;melroformer_bigvgan;-4.316591624382595;0.08887;4.083333333333333
fileid_2;htdemucs;12.151662450764562;0.0989;2.3333333333333335
fileid_31;sgmsvs;9.0911110192273;0.0907;2.5
fileid_3;melroformer_large;17.75300251322824;0.02786;3.75
fileid_1;melroformer_large;10.199914154130871;0.05365;3.6666666666666665
fileid_3;htdemucs;9.000962297829792;77;1.8333333333333333
fileid_31;melroformer_large;18.128124434357;0.0315;3.75
fileid_42;sgmsvs;8.504191430734952;92;4.666666666666667
fileid_3;melroformer_small;11.536869823215328;0.0504;3.0833333333333335
fileid_6;htdemucs;0.7642088941169501;193;1.0
fileid_10;sgmsvs;18.77355452637873;0.01637;4.833333333333333
fileid_14;htdemucs;3.1816113081511848;0.1434;1.5833333333333333
fileid_42;melroformer_large;12.698252966905615;0.08813;4.25
fileid_2;sgmsvs;13.191331145152908;0.07654;3.3333333333333335
fileid_31;melroformer_bigvgan;-8.200194395948014;0.07513;3.6666666666666665
fileid_22;melroformer_small;8.136226227204729;0.0765;2.6666666666666665
fileid_21;melroformer_large;17.39368926945583;0.05258;3.1666666666666665
fileid_1;sgmsvs;5.837916636655626;0.0867;3.25
fileid_1;melroformer_small;8.057429202415477;0.0736;2.8333333333333335